Time,Species Name,Population,Habitat Area (km²),Migration,Reproduction Rate,Predation Risk,Environmental Threat,Season,Region,Forest Type,Urbanization,Extinction Risk
2018-02-25,Yến núi,10265,400,Có,4.92,Trung bình,6,Thu,Đồi núi,Ôn đới,72,Không có nguy cơ
2018-02-25,Chào mào,120842,140,Có,4.26,Thấp,10,Thu,Trung du,Rừng ngập mặn,13,Nguy cơ trung bình
2018-02-25,Cu Gáy,150789,213,Một phần,2.25,Thấp,9,Hạ,Đồng bằng,Rừng ngập mặn,87,Nguy cơ cao
2018-02-25,Chích chòe,100878,135,Một phần,2.88,Trung bình,5,Hạ,Đồng bằng,Rừng ngập mặn,92,Nguy cơ thấp
2018-02-25,Cú mèo,50881,62,Không,3.66,Trung bình,8,Hạ,Đồng bằng,Rừng ngập mặn,38,Nguy cơ trung bình
2018-02-25,Công,20175,434,Một phần,4.77,Thấp,4,Hạ,Đồi núi,Rừng ngập mặn,89,Nguy cơ trung bình
2018-02-25,Cắt nhỏ bụng vàng,40705,402,Không,2.55,Trung bình,9,Đông,Đồng bằng,Nhiệt đới,11,Nguy cơ trung bình
2018-03-04,Công,20200,359,Có,2.69,Thấp,10,Xuân,Đồi núi,Ôn đới,53,Nguy cơ cao
2018-03-04,Chích chòe,101004,151,Một phần,4.41,Trung bình,4,Thu,Trung du,Rừng ngập mặn,35,Nguy cơ thấp
2018-03-04,Cắt nhỏ bụng vàng,40807,466,Không,2.76,Trung bình,10,Xuân,Trung du,Ôn đới,64,Nguy cơ cao
2018-03-04,Yến núi,10303,149,Không,3.48,Thấp,1,Hạ,Đồi núi,Ôn đới,1,Nguy cơ trung bình
2018-03-04,Chào mào,120963,500,Một phần,4.6,Trung bình,8,Hạ,Đồi núi,Ôn đới,56,Nguy cơ trung bình
2018-03-04,Cu Gáy,150902,448,Có,4.93,Thấp,6,Thu,Trung du,Rừng ngập mặn,97,Nguy cơ cao
2018-03-04,Cú mèo,51008,81,Không,2.44,Cao,2,Hạ,Trung du,Ôn đới,14,Nguy cơ cao
2018-03-11,Yến núi,10342,393,Có,3.21,Cao,8,Thu,Đồi núi,Rừng ngập mặn,61,Nguy cơ trung bình
2018-03-11,Công,20226,404,Một phần,3.19,Trung bình,10,Đông,Đồng bằng,Nhiệt đới,10,Nguy cơ thấp
2018-03-11,Cú mèo,51136,252,Một phần,4.66,Thấp,3,Đông,Đồi núi,Rừng ngập mặn,3,Nguy cơ thấp
2018-03-11,Chích chòe,101130,435,Một phần,4.37,Thấp,7,Xuân,Trung du,Ôn đới,36,Nguy cơ thấp
2018-03-11,Cắt nhỏ bụng vàng,40909,86,Một phần,3.92,Thấp,5,Xuân,Đồng bằng,Nhiệt đới,62,Nguy cơ cao
2018-03-11,Chào mào,121084,326,Một phần,1.73,Trung bình,2,Đông,Trung du,Nhiệt đới,58,Nguy cơ trung bình
2018-03-11,Cu Gáy,151015,160,Một phần,4.11,Trung bình,2,Đông,Đồi núi,Rừng ngập mặn,85,Nguy cơ cao
2018-03-18,Chích chòe,101257,302,Không,2.58,Trung bình,4,Xuân,Đồng bằng,Ôn đới,83,Nguy cơ thấp
2018-03-18,Yến núi,10381,142,Một phần,2.11,Thấp,6,Đông,Đồi núi,Ôn đới,30,Không có nguy cơ
2018-03-18,Công,20251,394,Không,4.43,Thấp,8,Hạ,Trung du,Ôn đới,17,Nguy cơ thấp
2018-03-18,Cu Gáy,151128,248,Có,3.25,Thấp,5,Đông,Đồi núi,Nhiệt đới,25,Nguy cơ cao
2018-03-18,Chào mào,121205,484,Một phần,4.56,Cao,4,Đông,Trung du,Rừng ngập mặn,37,Nguy cơ trung bình
2018-03-18,Cú mèo,51264,32,Có,4.62,Thấp,7,Thu,Đồng bằng,Ôn đới,83,Nguy cơ trung bình
2018-03-18,Cắt nhỏ bụng vàng,41011,46,Có,1.39,Cao,10,Đông,Trung du,Ôn đới,16,Nguy cơ trung bình
2018-03-25,Chích chòe,101383,303,Một phần,1.51,Trung bình,2,Hạ,Đồng bằng,Ôn đới,12,Nguy cơ trung bình
2018-03-25,Yến núi,10420,59,Không,4.42,Trung bình,1,Xuân,Đồng bằng,Nhiệt đới,90,Không có nguy cơ
2018-03-25,Cu Gáy,151242,80,Không,1.17,Trung bình,2,Đông,Trung du,Rừng ngập mặn,36,Nguy cơ cao
2018-03-25,Cắt nhỏ bụng vàng,41113,230,Một phần,4.47,Trung bình,5,Hạ,Trung du,Ôn đới,56,Nguy cơ cao
2018-03-25,Công,20276,298,Một phần,4.97,Thấp,5,Hạ,Đồi núi,Rừng ngập mặn,78,Nguy cơ thấp
2018-03-25,Chào mào,121326,187,Không,1.7,Cao,9,Hạ,Đồi núi,Nhiệt đới,38,Nguy cơ trung bình
2018-03-25,Cú mèo,51392,278,Không,2.63,Trung bình,9,Hạ,Đồi núi,Ôn đới,8,Không có nguy cơ
2018-04-01,Công,20302,310,Có,2.99,Thấp,2,Thu,Đồng bằng,Nhiệt đới,28,Nguy cơ cao
2018-04-01,Chào mào,121447,330,Có,4.23,Cao,7,Hạ,Đồi núi,Rừng ngập mặn,70,Nguy cơ trung bình
2018-04-01,Cu Gáy,151355,236,Có,2.71,Thấp,6,Hạ,Đồi núi,Ôn đới,83,Nguy cơ cao
2018-04-01,Cắt nhỏ bụng vàng,41216,272,Không,2.57,Trung bình,7,Đông,Đồng bằng,Ôn đới,41,Nguy cơ trung bình
2018-04-01,Yến núi,10459,276,Một phần,1.6,Trung bình,7,Thu,Trung du,Ôn đới,52,Nguy cơ trung bình
2018-04-01,Chích chòe,101510,369,Một phần,4.7,Cao,4,Xuân,Đồng bằng,Ôn đới,59,Nguy cơ thấp
2018-04-01,Cú mèo,51520,402,Không,1.88,Trung bình,5,Thu,Trung du,Ôn đới,4,Nguy cơ cao
2018-04-08,Cú mèo,51649,104,Một phần,4.81,Thấp,9,Xuân,Đồi núi,Rừng ngập mặn,5,Nguy cơ cao
2018-04-08,Cắt nhỏ bụng vàng,41319,410,Có,4.02,Thấp,7,Thu,Đồi núi,Nhiệt đới,70,Không có nguy cơ
2018-04-08,Cu Gáy,151469,179,Không,3.95,Thấp,6,Thu,Trung du,Ôn đới,81,Nguy cơ cao
2018-04-08,Chích chòe,101637,141,Không,4.94,Trung bình,10,Hạ,Đồng bằng,Ôn đới,59,Nguy cơ trung bình
2018-04-08,Chào mào,121569,119,Có,4.3,Cao,2,Thu,Đồng bằng,Ôn đới,26,Nguy cơ trung bình
2018-04-08,Yến núi,10498,110,Không,4.94,Cao,9,Hạ,Đồi núi,Rừng ngập mặn,30,Không có nguy cơ
2018-04-08,Công,20327,367,Một phần,4.71,Thấp,3,Hạ,Đồi núi,Ôn đới,56,Không có nguy cơ
2018-04-15,Chào mào,121690,191,Không,2.58,Trung bình,5,Đông,Đồng bằng,Nhiệt đới,39,Nguy cơ trung bình
2018-04-15,Cắt nhỏ bụng vàng,41422,115,Không,1.69,Trung bình,1,Đông,Đồng bằng,Nhiệt đới,5,Nguy cơ cao
2018-04-15,Chích chòe,101764,229,Có,1.61,Thấp,5,Đông,Trung du,Rừng ngập mặn,79,Nguy cơ thấp
2018-04-15,Cu Gáy,151582,196,Một phần,1.03,Trung bình,8,Thu,Đồng bằng,Ôn đới,84,Nguy cơ cao
2018-04-15,Cú mèo,51778,430,Không,3.96,Cao,9,Xuân,Trung du,Ôn đới,7,Không có nguy cơ
2018-04-15,Công,20352,147,Không,1.38,Trung bình,8,Thu,Đồng bằng,Rừng ngập mặn,36,Không có nguy cơ
2018-04-15,Yến núi,10537,210,Có,2.57,Cao,6,Thu,Trung du,Nhiệt đới,71,Không có nguy cơ
2018-04-22,Công,20378,129,Có,4.04,Trung bình,3,Thu,Đồng bằng,Nhiệt đới,64,Nguy cơ cao
2018-04-22,Yến núi,10577,313,Một phần,4.97,Cao,8,Đông,Đồi núi,Rừng ngập mặn,47,Không có nguy cơ
2018-04-22,Chào mào,121812,258,Một phần,1.78,Trung bình,4,Xuân,Đồi núi,Ôn đới,66,Nguy cơ trung bình
2018-04-22,Cắt nhỏ bụng vàng,41526,125,Không,1.25,Cao,2,Xuân,Đồng bằng,Ôn đới,4,Nguy cơ cao
2018-04-22,Cú mèo,51908,399,Một phần,1.3,Cao,5,Đông,Đồi núi,Nhiệt đới,6,Nguy cơ cao
2018-04-22,Chích chòe,101891,412,Có,3.05,Thấp,8,Hạ,Đồi núi,Rừng ngập mặn,26,Nguy cơ thấp
2018-04-22,Cu Gáy,151696,57,Không,4.98,Trung bình,5,Xuân,Đồi núi,Nhiệt đới,69,Nguy cơ cao
2018-04-29,Chào mào,121934,229,Một phần,3.16,Trung bình,10,Hạ,Trung du,Rừng ngập mặn,56,Nguy cơ trung bình
2018-04-29,Yến núi,10617,285,Không,3.67,Trung bình,8,Đông,Đồng bằng,Ôn đới,48,Nguy cơ trung bình
2018-04-29,Cú mèo,52037,288,Không,2.63,Cao,1,Xuân,Trung du,Nhiệt đới,56,Nguy cơ thấp
2018-04-29,Cắt nhỏ bụng vàng,41630,160,Có,1.63,Trung bình,1,Đông,Đồi núi,Ôn đới,81,Không có nguy cơ
2018-04-29,Cu Gáy,151810,458,Không,4.41,Thấp,9,Thu,Đồi núi,Nhiệt đới,31,Nguy cơ cao
2018-04-29,Công,20403,452,Có,3.04,Cao,2,Hạ,Đồng bằng,Ôn đới,0,Nguy cơ thấp
2018-04-29,Chích chòe,102018,488,Không,4.94,Trung bình,10,Hạ,Trung du,Rừng ngập mặn,84,Nguy cơ thấp
2018-05-06,Yến núi,10656,353,Không,4.92,Cao,9,Xuân,Trung du,Nhiệt đới,78,Nguy cơ trung bình
2018-05-06,Cắt nhỏ bụng vàng,41734,277,Có,2.52,Cao,2,Xuân,Trung du,Nhiệt đới,28,Nguy cơ cao
2018-05-06,Chích chòe,102146,186,Không,1.19,Thấp,10,Thu,Trung du,Nhiệt đới,52,Nguy cơ trung bình
2018-05-06,Cú mèo,52168,296,Có,1.84,Trung bình,9,Hạ,Đồng bằng,Rừng ngập mặn,10,Nguy cơ cao
2018-05-06,Công,20429,325,Có,1.58,Trung bình,7,Xuân,Đồng bằng,Nhiệt đới,54,Nguy cơ cao
2018-05-06,Chào mào,122056,495,Có,1.7,Trung bình,3,Thu,Đồng bằng,Nhiệt đới,30,Nguy cơ trung bình
2018-05-06,Cu Gáy,151924,120,Một phần,1.67,Trung bình,6,Hạ,Đồng bằng,Rừng ngập mặn,10,Nguy cơ cao
2018-05-13,Cú mèo,52298,220,Một phần,2.48,Cao,6,Thu,Đồng bằng,Nhiệt đới,56,Nguy cơ cao
2018-05-13,Công,20454,303,Một phần,4.99,Thấp,9,Đông,Trung du,Ôn đới,90,Không có nguy cơ
2018-05-13,Cắt nhỏ bụng vàng,41838,497,Không,2.57,Cao,4,Xuân,Đồng bằng,Ôn đới,72,Nguy cơ cao
2018-05-13,Chào mào,122178,221,Một phần,1.79,Trung bình,3,Xuân,Trung du,Nhiệt đới,2,Nguy cơ trung bình
2018-05-13,Yến núi,10696,211,Không,3.96,Cao,3,Hạ,Đồng bằng,Nhiệt đới,54,Nguy cơ trung bình
2018-05-13,Cu Gáy,152037,271,Không,3.58,Trung bình,2,Hạ,Đồi núi,Ôn đới,0,Nguy cơ cao
2018-05-13,Chích chòe,102274,254,Có,4.07,Trung bình,10,Đông,Trung du,Rừng ngập mặn,52,Nguy cơ trung bình
2018-05-20,Cu Gáy,152151,130,Có,2.92,Cao,6,Hạ,Trung du,Ôn đới,50,Nguy cơ cao
2018-05-20,Chào mào,122300,474,Có,1.4,Cao,4,Thu,Trung du,Ôn đới,60,Nguy cơ trung bình
2018-05-20,Cắt nhỏ bụng vàng,41943,225,Không,1.71,Trung bình,3,Đông,Trung du,Ôn đới,79,Nguy cơ cao
2018-05-20,Công,20480,324,Một phần,4.19,Thấp,7,Xuân,Trung du,Ôn đới,87,Nguy cơ cao
2018-05-20,Chích chòe,102401,101,Có,3.64,Trung bình,9,Thu,Trung du,Rừng ngập mặn,33,Nguy cơ thấp
2018-05-20,Yến núi,10737,375,Có,4.82,Trung bình,2,Thu,Đồi núi,Ôn đới,66,Không có nguy cơ
2018-05-20,Cú mèo,52429,276,Một phần,1.71,Cao,9,Hạ,Đồi núi,Rừng ngập mặn,81,Nguy cơ cao
2018-05-27,Yến núi,10777,264,Có,2.89,Thấp,4,Đông,Đồi núi,Nhiệt đới,80,Không có nguy cơ
2018-05-27,Cắt nhỏ bụng vàng,42048,167,Không,2.96,Cao,10,Đông,Đồi núi,Nhiệt đới,97,Nguy cơ thấp
2018-05-27,Chào mào,122422,152,Một phần,2.61,Cao,7,Đông,Đồi núi,Ôn đới,100,Nguy cơ trung bình
2018-05-27,Cú mèo,52560,119,Không,3.02,Cao,9,Xuân,Đồng bằng,Ôn đới,51,Không có nguy cơ
2018-05-27,Cu Gáy,152266,60,Không,2.19,Thấp,8,Hạ,Đồng bằng,Ôn đới,96,Nguy cơ cao
2018-05-27,Chích chòe,102529,417,Không,3.92,Thấp,8,Xuân,Đồng bằng,Ôn đới,35,Nguy cơ thấp
2018-05-27,Công,20505,196,Có,1.87,Thấp,4,Đông,Trung du,Nhiệt đới,92,Không có nguy cơ
2018-06-03,Cu Gáy,152380,138,Một phần,1.98,Cao,9,Hạ,Đồng bằng,Ôn đới,39,Nguy cơ cao
2018-06-03,Chích chòe,102658,304,Có,1.29,Thấp,1,Hạ,Trung du,Rừng ngập mặn,41,Nguy cơ trung bình
2018-06-03,Công,20531,261,Có,2.88,Cao,1,Đông,Trung du,Ôn đới,11,Nguy cơ thấp
2018-06-03,Yến núi,10817,197,Có,3.34,Thấp,6,Hạ,Đồng bằng,Ôn đới,11,Nguy cơ trung bình
2018-06-03,Cú mèo,52691,205,Có,4.43,Trung bình,3,Xuân,Đồng bằng,Rừng ngập mặn,7,Nguy cơ trung bình
2018-06-03,Cắt nhỏ bụng vàng,42153,479,Không,4.67,Thấp,1,Đông,Trung du,Nhiệt đới,55,Không có nguy cơ
2018-06-03,Chào mào,122545,458,Có,2.22,Cao,6,Hạ,Trung du,Nhiệt đới,97,Nguy cơ trung bình
2018-06-10,Chào mào,122667,418,Một phần,3.09,Thấp,2,Đông,Trung du,Nhiệt đới,89,Nguy cơ trung bình
2018-06-10,Yến núi,10858,87,Không,2.72,Trung bình,5,Xuân,Trung du,Ôn đới,40,Không có nguy cơ
2018-06-10,Cắt nhỏ bụng vàng,42258,280,Không,2.87,Trung bình,10,Hạ,Đồi núi,Rừng ngập mặn,25,Không có nguy cơ
2018-06-10,Cu Gáy,152494,194,Một phần,3.68,Thấp,4,Thu,Trung du,Rừng ngập mặn,61,Nguy cơ cao
2018-06-10,Cú mèo,52823,67,Có,4.22,Thấp,1,Hạ,Đồng bằng,Rừng ngập mặn,98,Không có nguy cơ
2018-06-10,Công,20557,299,Không,1.19,Thấp,9,Xuân,Đồi núi,Ôn đới,91,Nguy cơ cao
2018-06-10,Chích chòe,102786,377,Một phần,1.48,Thấp,7,Thu,Đồi núi,Ôn đới,6,Nguy cơ trung bình
2018-06-17,Yến núi,10899,229,Một phần,1.04,Trung bình,5,Xuân,Đồi núi,Nhiệt đới,78,Nguy cơ trung bình
2018-06-17,Cắt nhỏ bụng vàng,42364,438,Một phần,1.37,Cao,9,Đông,Đồi núi,Rừng ngập mặn,65,Nguy cơ trung bình
2018-06-17,Cú mèo,52955,262,Không,4.82,Thấp,7,Thu,Trung du,Nhiệt đới,48,Nguy cơ cao
2018-06-17,Cu Gáy,152608,452,Một phần,1.73,Trung bình,9,Xuân,Trung du,Rừng ngập mặn,50,Nguy cơ cao
2018-06-17,Chào mào,122790,328,Một phần,4.61,Cao,10,Hạ,Trung du,Nhiệt đới,0,Nguy cơ trung bình
2018-06-17,Chích chòe,102914,115,Một phần,2.74,Thấp,1,Xuân,Trung du,Ôn đới,35,Nguy cơ trung bình
2018-06-17,Công,20582,353,Có,4.78,Trung bình,10,Hạ,Đồi núi,Nhiệt đới,46,Nguy cơ cao
2018-06-24,Công,20608,26,Không,1.56,Thấp,5,Đông,Đồng bằng,Nhiệt đới,53,Nguy cơ trung bình
2018-06-24,Cu Gáy,152723,148,Có,4.44,Thấp,9,Đông,Trung du,Ôn đới,99,Nguy cơ cao
2018-06-24,Cắt nhỏ bụng vàng,42470,108,Có,3.98,Thấp,8,Xuân,Đồng bằng,Nhiệt đới,31,Nguy cơ thấp
2018-06-24,Chào mào,122913,411,Một phần,2.05,Cao,10,Đông,Trung du,Ôn đới,21,Nguy cơ trung bình
2018-06-24,Cú mèo,53087,485,Không,2.01,Cao,2,Thu,Đồi núi,Ôn đới,97,Nguy cơ thấp
2018-06-24,Yến núi,10939,39,Có,1.61,Trung bình,10,Đông,Đồi núi,Ôn đới,77,Nguy cơ trung bình
2018-06-24,Chích chòe,103043,436,Không,2.39,Thấp,6,Xuân,Đồng bằng,Ôn đới,65,Nguy cơ thấp
2018-07-01,Chích chòe,103818,161,Không,1.87,Thấp,8,Đông,Đồi núi,Nhiệt đới,64,Nguy cơ trung bình
2018-07-01,Yến núi,10317,94,Có,2.15,Trung bình,7,Đông,Trung du,Nhiệt đới,86,Không có nguy cơ
2018-07-01,Công,20378,250,Không,3.68,Thấp,6,Đông,Đồi núi,Ôn đới,24,Không có nguy cơ
2018-07-01,Chào mào,123806,109,Không,1.92,Thấp,9,Đông,Đồi núi,Rừng ngập mặn,52,Nguy cơ trung bình
2018-07-01,Cú mèo,50628,241,Một phần,1.69,Cao,10,Thu,Đồng bằng,Rừng ngập mặn,41,Nguy cơ cao
2018-07-01,Cắt nhỏ bụng vàng,41268,82,Có,1.93,Trung bình,1,Thu,Trung du,Nhiệt đới,76,Nguy cơ cao
2018-07-01,Cu Gáy,151886,319,Không,1.28,Thấp,10,Đông,Đồng bằng,Rừng ngập mặn,92,Nguy cơ cao
2018-07-08,Yến núi,10330,71,Có,3.88,Trung bình,9,Thu,Đồi núi,Nhiệt đới,7,Không có nguy cơ
2018-07-08,Cu Gáy,151962,355,Không,4.8,Trung bình,7,Thu,Trung du,Rừng ngập mặn,2,Nguy cơ cao
2018-07-08,Cú mèo,50654,401,Có,3.38,Trung bình,10,Thu,Trung du,Rừng ngập mặn,74,Nguy cơ thấp
2018-07-08,Chào mào,123961,122,Không,3.83,Cao,6,Xuân,Đồi núi,Ôn đới,83,Nguy cơ trung bình
2018-07-08,Cắt nhỏ bụng vàng,41320,264,Có,2.42,Cao,6,Thu,Đồng bằng,Ôn đới,52,Không có nguy cơ
2018-07-08,Công,20393,452,Không,4.27,Thấp,10,Đông,Trung du,Nhiệt đới,60,Nguy cơ cao
2018-07-08,Chích chòe,103974,361,Có,4.41,Thấp,4,Hạ,Đồi núi,Rừng ngập mặn,77,Nguy cơ thấp
2018-07-15,Chích chòe,104129,393,Không,4.61,Trung bình,1,Đông,Đồi núi,Rừng ngập mặn,83,Nguy cơ trung bình
2018-07-15,Chào mào,124116,245,Không,2.08,Trung bình,1,Đông,Trung du,Rừng ngập mặn,95,Nguy cơ trung bình
2018-07-15,Yến núi,10343,267,Có,2.16,Trung bình,1,Đông,Đồi núi,Ôn đới,70,Nguy cơ trung bình
2018-07-15,Cu Gáy,152038,126,Không,3.8,Thấp,9,Xuân,Đồi núi,Ôn đới,78,Nguy cơ cao
2018-07-15,Cú mèo,50679,290,Một phần,2.51,Trung bình,10,Xuân,Đồi núi,Rừng ngập mặn,78,Không có nguy cơ
2018-07-15,Cắt nhỏ bụng vàng,41372,290,Không,4.56,Thấp,9,Thu,Đồng bằng,Nhiệt đới,19,Nguy cơ trung bình
2018-07-15,Công,20408,427,Có,1.86,Cao,8,Đông,Đồi núi,Rừng ngập mặn,25,Nguy cơ thấp
2018-07-22,Chích chòe,104286,367,Có,1.29,Trung bình,3,Xuân,Đồi núi,Rừng ngập mặn,33,Nguy cơ thấp
2018-07-22,Cắt nhỏ bụng vàng,41423,461,Có,3.17,Trung bình,6,Hạ,Trung du,Ôn đới,79,Nguy cơ cao
2018-07-22,Yến núi,10355,372,Không,1.2,Trung bình,10,Thu,Trung du,Ôn đới,71,Không có nguy cơ
2018-07-22,Chào mào,124271,245,Không,1.31,Cao,3,Thu,Đồi núi,Nhiệt đới,2,Nguy cơ trung bình
2018-07-22,Cu Gáy,152114,91,Có,3.08,Cao,3,Hạ,Đồi núi,Rừng ngập mặn,84,Nguy cơ cao
2018-07-22,Công,20424,96,Một phần,1.8,Cao,2,Đông,Đồi núi,Ôn đới,38,Không có nguy cơ
2018-07-22,Cú mèo,50704,283,Không,3.18,Trung bình,3,Đông,Đồi núi,Ôn đới,3,Nguy cơ trung bình
2018-07-29,Cú mèo,50730,132,Một phần,1.1,Cao,6,Đông,Đồi núi,Nhiệt đới,100,Nguy cơ trung bình
2018-07-29,Chào mào,124426,174,Không,1.73,Trung bình,5,Thu,Đồng bằng,Rừng ngập mặn,27,Nguy cơ trung bình
2018-07-29,Công,20439,49,Không,2.13,Thấp,8,Xuân,Đồng bằng,Ôn đới,51,Nguy cơ thấp
